Index,target,load,SensorI,SensorII,SensorIII,SensorIV,sum_Sensor,ABSsum_Sensor,median_Sensor,SensorI^2,SensorII^2,SensorIII^2,SensorIV^2,SensorI^3,SensorII^3,SensorIII^3,SensorIV^3,Multi_Sensor
1,1,0,-4.04747,1.66687,4.30966,7.26013,9.18919,17.28413,2.988265,16.3820134,2.778455597,18.57316932,52.70948762,-66.30570778,4.631324281,80.04404487,382.6777323,-211.0924862
2,1,50,-3.74778,2.82845,2.48178,1.49548,3.05793,10.55349,1.98863,14.04585493,8.000129403,6.159231968,2.23646043,-52.64077418,22.62796601,15.28585871,3.344581844,-39.34291049
3,0,30,3.1762,-1.5891,-4.61548,-1.59136,-4.61974,10.97214,-1.59023,10.08824644,2.52523881,21.30265563,2.53242665,32.04228834,-4.012856993,-98.32198101,-4.030002473,-37.07186031
4,0,40,-3.24059,1.14296,1.29922,1.46013,0.66172,7.1429,1.22109,10.50142355,1.306357562,1.687972608,2.131979617,-34.03080814,1.493114439,2.193047772,3.112967398,-7.026342905
5,0,70,-6.73064,-8.27144,3.84101,2.379,-8.78207,21.22209,-2.17582,45.30151481,68.41671967,14.75335782,5.659641,-304.9081876,-565.9047918,56.66779492,13.46428594,508.718306
6,0,80,1.89799,4.81706,7.11794,-8.91623,4.91676,22.74922,3.357525,3.60236604,23.20406704,50.66506984,79.49915741,6.83725472,111.7753832,360.6309272,-708.8327723,-580.2452066
7,1,0,7.69702,1.71406,-0.97308,-6.8601,1.5779,17.24426,0.37049,59.24411688,2.938001684,0.946884686,47.06097201,456.0031525,5.035911166,-0.921394551,-322.8429741,88.06992533
8,1,50,0.338737,7.16506,-3.97411,3.51823,7.047917,14.996137,1.9284835,0.114742755,51.3380848,15.79355029,12.37794233,0.038867617,367.8404579,-62.76530615,43.54844805,-33.93490047
9,1,50,1.78818,-1.37352,-1.80719,-1.6202,-3.01273,6.58909,-1.49686,3.197587712,1.88655719,3.265935696,2.62504804,5.717862396,-2.591224032,-5.902166331,-4.253102834,-7.191486399
10,0,60,0.426903,-5.88706,-3.6141,-1.3701,-10.444357,11.298163,-2.4921,0.182246171,34.65747544,13.06171881,1.87717401,0.077801437,-204.0306374,-47.20635795,-2.571916111,-12.44457588
11,0,30,6.05703,-3.76772,-1.37139,-1.79087,-0.87295,12.98701,-1.58113,36.68761242,14.195714,1.880710532,3.207215357,222.2179691,-53.48547555,-2.579187617,-5.743705766,-56.04842136
12,0,70,6.97715,-1.66261,2.60927,-3.64762,4.27619,14.89665,0.47333,48.68062212,2.764272012,6.808289933,13.30513166,339.6520026,-4.59590629,17.76466667,-48.53206436,110.4071139
13,1,10,-2.82941,-0.785315,1.23438,2.42891,0.048565,7.278015,0.2245325,8.005560948,0.616719649,1.523693984,5.899603788,-22.6510142,-0.484319191,1.88081738,14.32960664,6.661930173
14,1,70,-6.89881,4.64554,0.757847,4.45099,2.955567,16.753187,2.6044185,47.59357942,21.58104189,0.574332075,19.81131198,-328.3390616,100.2555933,0.43525584,88.17995151,-108.1056873
15,0,50,11.7578,3.4684,-0.758802,6.71524,21.182638,22.700242,5.09182,138.2458608,12.02979856,0.575780475,45.09444826,1625.467183,41.72415333,-0.436903376,302.8200427,-207.7998606
16,0,90,2.8203,-0.861883,0.0319646,2.52005,4.5104316,6.2341976,1.2760073,7.95409209,0.742842306,0.001021736,6.350652002,22.43292592,-0.640243155,3.27E-05,16.00396058,-0.195804223
17,1,30,2.14757,-3.13117,0.783065,1.12406,0.923525,7.185865,0.9535625,4.612056905,9.804225569,0.613190794,1.263510884,9.904715047,-30.69869697,0.480168249,1.420262044,-5.918903816
18,1,30,8.62265,2.44198,-0.464185,-2.07399,8.526455,13.602805,0.9888975,74.35009302,5.96326632,0.215467714,4.30143452,641.0948296,14.56217709,-0.100016881,-8.92113218,20.27125427
19,1,20,-6.6142,0.965721,2.80354,-9.08032,-11.925259,19.463781,-2.8242395,43.74764164,0.93261705,7.859836532,82.4522113,-289.3556513,0.90064787,22.03536611,-748.6924633,162.6061282
20,0,30,-2.55384,0.486395,-1.31018,-0.290725,-3.66835,4.64114,-0.8004525,6.522098746,0.236580096,1.716571632,0.084521026,-16.65639666,0.115071376,-2.249017821,-0.024572375,-0.473147044
21,1,60,-1.09483,5.73613,5.65916,1.26535,11.56581,13.75547,3.462255,1.198652729,32.90318738,32.02609191,1.601110623,-1.312320967,188.7369602,181.2407783,2.025965326,-44.97056219
22,0,80,-6.25608,1.106,5.28016,-2.86361,-2.73353,15.50585,-0.878805,39.13853697,1.223236,27.88008963,8.200262232,-244.8538183,1.352899016,147.211334,-23.48235293,104.6208812
23,1,30,5.06294,-4.48974,-3.09484,-3.60466,-6.1263,16.25218,-3.34975,25.63336144,20.15776527,9.578034626,12.99357372,129.780171,-90.50312503,-29.64248468,-46.83741543,-253.5867053
24,1,0,-4.53003,5.71467,-0.276044,-2.36516,-1.456564,12.885904,-1.320602,20.5211718,32.65745321,0.07620029,5.593981826,-92.96152389,186.6265681,-0.021034633,-13.23066205,-16.90172659
25,0,80,-2.62345,-1.86112,1.99452,-1.15589,-3.64594,7.63498,-1.508505,6.882489903,3.463767654,3.97811003,1.336081692,-18.05586813,-6.446487257,7.934420018,-1.544363467,-11.25646615
26,1,80,-0.190297,-0.241413,5.95021,-6.14229,-0.62379,12.52421,-0.215855,0.036212948,0.058280237,35.40499904,37.72772644,-0.006891215,-0.014069607,210.6671794,-231.7346369,-1.679017433
27,1,70,1.72042,3.67551,6.32389,5.71478,17.4346,17.4346,4.695145,2.959844976,13.50937376,39.99158473,32.65871045,5.092176494,49.65383835,252.9023828,186.6373453,228.526156
28,1,70,1.73848,-0.920654,-0.374881,-2.92663,-2.483685,5.960645,-0.6477675,3.02231271,0.847603788,0.140535764,8.565163157,5.254230201,-0.780349818,-0.052684188,-25.06706345,-1.756011651
29,0,90,-5.08492,2.39027,0.593812,-5.4605,-7.561338,13.529502,-2.245554,25.85641141,5.713390673,0.352612691,29.81706025,-131.4777835,13.65654632,0.209385647,-162.8160575,39.41054735
30,0,60,1.56135,-2.0998,-1.01722,1.4231,-0.13257,6.10147,0.20294,2.437813823,4.40916004,1.034736528,2.02521361,3.806280612,-9.258354252,-1.052554691,2.882081488,4.74600846
31,1,0,0.607417,2.05426,-1.10768,-4.55754,-3.003543,8.326897,-0.2501315,0.368955412,4.219984148,1.226954982,20.77117085,0.224109789,8.668944635,-1.359073495,-94.665442,6.2992255
32,1,90,-12.6901,6.9267,-9.15259,0.059949,-14.856041,28.829339,-4.5463205,161.038638,47.97917289,83.76990371,0.003593883,-2043.59642,332.3373369,-766.711583,0.00021545,48.23001246
33,1,40,-5.77238,3.08958,-0.674548,3.78858,0.431232,13.325088,1.207516,33.32037086,9.545504576,0.455015004,14.35333842,-192.3378424,29.49160003,-0.306929461,54.37877086,45.57678426
34,0,10,-0.820241,-5.42802,-3.58399,-0.38179,-10.214041,10.214041,-2.2021155,0.672795298,29.46340112,12.84498432,0.145763604,-0.551854288,-159.9279305,-46.03629535,-0.055651086,6.092201388
35,0,60,0.33211,-1.55243,-0.55843,0.826765,-0.951985,3.269735,-0.11316,0.110297052,2.410038905,0.311844065,0.683540365,0.036630754,-3.741416697,-0.174143081,0.56512725,0.238037184
36,0,0,-0.235655,-1.67538,0.0738325,0.802589,-1.0346135,2.7874565,-0.08091125,0.055533279,2.806898144,0.005451238,0.644149103,-0.013086695,-4.702621013,0.000402479,0.516986984,0.023395416
37,1,60,2.31583,2.90932,4.0221,-1.36789,7.87936,10.61514,2.612575,5.363068589,8.464142862,16.17728841,1.871123052,12.41995513,24.62490011,65.06667171,-2.559490512,-37.06826054
38,1,50,2.88409,0.734975,-0.676436,1.57504,4.517669,5.870541,1.1550075,8.317975128,0.540188251,0.457565662,2.480751002,23.98978889,0.39702486,-0.309513886,3.907282058,-2.258393817
39,1,50,-8.52348,-1.44246,2.95526,-1.21389,-8.22457,14.13509,-1.328175,72.64971131,2.080690852,8.733561668,1.473528932,-619.2283614,-3.001313326,25.80994545,-1.788702035,-44.10580516
40,1,30,-5.65397,3.46655,5.75547,10.144,13.71205,25.01999,4.61101,31.96737676,12.0169689,33.12543492,102.900736,-180.7425892,41.65742355,190.6524469,1043.825066,-1144.302913
41,0,40,-7.01166,8.16232,1.42375,3.9123,6.48671,20.51003,2.668025,49.16337596,66.62346778,2.027064063,15.30609129,-344.7168767,543.8020635,2.886032459,59.88202095,-318.7868163
42,1,50,3.90562,-4.72385,1.11345,-0.438757,-0.143537,10.181677,0.3373465,15.25386758,22.31475882,1.239770903,0.192507705,59.57581031,-105.4115735,1.380422911,-0.084464103,9.01323849
43,0,30,5.27179,1.63392,-2.85308,6.63545,10.68808,16.39424,3.452855,27.7917698,2.669694566,8.140065486,44.0291967,146.5123741,4.362067346,-23.22425804,292.1535333,-163.0696808
44,1,0,10.6657,-16.0592,4.96552,-1.4278,-1.85578,33.11822,1.76886,113.7571565,257.8979046,24.65638887,2.03861284,1213.299704,-4141.63403,122.4317921,-2.910731413,1214.354213
45,0,80,11.6611,1.19572,6.66564,2.75649,22.27895,22.27895,4.711065,135.9812532,1.429746318,44.43075661,7.59823712,1585.690992,1.709576268,296.1594285,20.94446464,256.1930174
46,0,10,-1.98188,-0.264629,-1.02807,2.8464,-0.428179,6.120979,-0.6463495,3.927848334,0.070028508,1.056927925,8.10199296,-7.784524057,-0.018531574,-1.086595892,23.06151276,-1.534735036
47,0,0,-5.71153,-0.247391,2.31549,3.49134,-0.152091,11.765751,1.0340495,32.62157494,0.061202307,5.36149394,12.189455,-186.3191039,-0.0151409,12.4144856,42.5575318,11.42276947
48,1,40,7.2518,-0.942105,-3.39394,-1.55328,1.362475,13.141125,-1.2476925,52.58860324,0.887561831,11.51882872,2.412678758,381.362033,-0.836176439,-39.09421356,-3.747565662,-36.01629521
49,1,50,-1.62665,-0.31988,-0.602935,0.646734,-1.902731,3.196199,-0.4614075,2.645990222,0.102323214,0.363530614,0.418264867,-4.304099995,-0.03273115,-0.219185331,0.27050611,-0.202897826
50,1,80,-2.10862,0.577604,-0.597867,1.39363,-0.735253,4.677721,-0.0101315,4.446278304,0.333626381,0.35744495,1.942204577,-9.375511358,0.192703932,-0.21370454,2.706714565,1.01480029
51,0,0,11.6713,-4.01888,-1.59863,-7.5206,-1.46681,24.80941,-2.808755,136.2192437,16.15139645,2.555617877,56.55942436,1589.855659,-64.91052418,-4.085487407,-425.3608068,-563.9293785
